NAME,UNIT,PRICE(UNIT),TOTAL (INR),TOTAL (USD),SOURCE
MCP73831-2-OT,1,139,139,1.53,https://robu.in/product/mcp73831t-2aci-ot-4-2v-500ma-single-cell-li-ion-li-polymer-battery-charge-management-controller-5-pin-sot-23-microchip-technology
XC6220B331MR,1,41,41,0.45,https://robu.in/product/xc6220b331mr-g-torex-fixed-ldo-voltage-regulator-1-6v-to-6v-655mv-dropout-3-3vout-1aout-sot-25-5
STM32L031F6P6TR,1,197,197,2.16,https://robu.in/product/stm32l031f6p6tr-stmicroelectronics-arm-mcu-stm32-family-stm32l0-series-microcontrollers-arm-cortex-m0-32-bit-32-mhz-32-kb
WeAct Studio STLink-STM32,1,516,516,5.67,https://robu.in/product/weact-studio-stlink-stm32-mini-debugger-daplink-stlink-v2-1-swd-swo-usb-to-uart-module
4.7uf 0603 caps,4,1.21,4.84,0.05,https://robu.in/product/4-7uf-4700nf-50v-capacitor-0603-smd-package-pack-of-10
SOD-123 Zener Diodes,1,2.35,2.35,0.03,https://robu.in/product/mmsz5240b-slkor-9-5v10-5v-500mw-10v-sod-123-zener-diodes-rohs
Fuse 0805,1,9,9,0.1,https://robu.in/product/0805l200sl6ar-lute-6v-50a-2a-4a-0805-resettable-rohs
5.1K Ohm 0603 resistor,2,1.31,2.62,0.03,https://robu.in/product/rt0603brd075k1l-yageo-res-thin-film-0603-5-1k-ohm-0-1-0-1w1-10w-%C2%B125ppm-c-pad-smd-t-r
10K Ohm 0603 resistor,1,0.86,0.86,0.01,https://robu.in/product/10k-ohm-1-4w-0603-surface-mount-chip-resistor-pack-of-100
6x6x8mm Tactile Push ,3,1.42,4.26,0.05,https://robu.in/product/6x6x8mm-tactile-push-button-switch-pack-of-20
32.768 kHz RTC crystal,1,21,21,0.23,https://robu.in/product/hc-49smd-6-7458mhz-20pf-20ppm-2pad-smd-smt-quartz-crystal-pack-of-2
470 Ohm 0603 resistor,1,0.45,0.45,0,https://robu.in/product/470-ohm-1-4w-0603-surface-mount-chip-resistor-pack-of-100
2K Ohm 0603 resistor,1,2.8,2.8,0.03,https://robu.in/product/rt0603brd072kl-yageo-res-thin-film-0603-2k-ohm-0-1-0-1w1-10w-%C2%B125ppm-c-pad-smd-t-r
100nf 0603 caps,1,0.64,0.64,0.01,https://robu.in/product/cc0603jrx7r7bb104-yageo-16v-100nf-x7r-%C2%B15-0603-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs
10uf 0603 caps,4,3.88,15.52,0.17,https://robu.in/product/10uf-10000nf-50v-capacitor-0603-smd-package-pack-of-5
Witty Fox 110mAh Rechargeable 3.7V LiPo Battery,1,114,114,1.25,https://robocraze.com/products/witty-fox-110mah-rechargeable-3-7v-lipo-battery?_pos=1&_psq=Witty+Fox+110mAh+Rechargeable+3.7V+LiPo+Battery&_ss=e&_v=1.0
Band Strap Nylon ,1,170,170,1.87,https://www.amazon.in/AANIJ%C2%AE-Canvas-Webbing-Collars-Leashes/dp/B08H17PDWS?dib=eyJ2IjoiMSJ9.38OkPvWuZYVvDrnyG8Ar9FMBCYQplPX8bjWRax-GBlvsQKPUdI8QDkAzR7y8hKYexiE2CVjRh44dqEpaLxSnXdjpv05XoUi2L1q5CsAtEBQ8vZ-RrBhSr8brWuU-FqDPEItk45dLhtAplRCOkK7qL4b_nCHE11QT1-zvOLIrODb6qCyE1NFOyRWbckh-IV2Lu5mCABkLf-SknYIsudZ2etfNKfwNunUdtIOgOiCVvblhnzZZfz8BGYcVhoGJekjnZBF2KkPc1l4V4qVBAM3Qlhjwxr8c_NRmEEcf9pID7kU.x5b4iFAKemOkewHJPBIU3N1TNhu20_E0wNIDWXbIOrc&dib_tag=se&keywords=nylon+strap&qid=1778520607&sr=8-7
PCB,1,1100,1100,12.09,
,,,,,
,,2321.92,2341.34,25.73,
